state,county,site,date,OC PM2.5 LC TOR,OC PM2.5 LC TOT
06,019,0011,2022-05-26,2.611,2.68105
06,019,0011,2022-05-29,0.781,0.78706
06,029,0014,2022-01-02,4.664,5.40392
06,029,0014,2022-01-05,4.372,4.86705
06,029,0014,2022-01-08,5.228,6.10275
06,029,0014,2022-01-11,4.1395,5.008285
06,029,0014,2022-01-14,5.326,6.16283
06,029,0014,2022-01-17,6.5905000000000005,7.671255
06,029,0014,2022-01-20,5.198,6.13121
06,029,0014,2022-01-23,5.550000000000001,6.374725
06,029,0014,2022-01-26,4.871,5.18517
06,029,0014,2022-01-29,6.4935,7.16141
06,029,0014,2022-02-01,5.277,5.67146
06,029,0014,2022-02-04,4.218,4.508785
06,029,0014,2022-02-07,7.157,7.67793
06,029,0014,2022-02-10,6.115,6.69937
06,029,0014,2022-02-13,4.1,4.36581
06,029,0014,2022-02-16,2.2255000000000003,2.392245
06,029,0014,2022-02-19,6.767,7.31547
06,029,0014,2022-02-22,1.5819999999999999,1.6204
06,029,0014,2022-02-25,3.077,3.29602
06,029,0014,2022-02-28,3.6795,3.93358
06,029,0014,2022-03-03,3.058,3.25251
06,029,0014,2022-03-06,2.9975,3.32048
06,029,0014,2022-03-09,2.897,3.1982
06,029,0014,2022-03-12,2.0265,2.249015
06,029,0014,2022-03-15,2.689,2.82867
06,029,0014,2022-03-18,2.688,2.940765
06,029,0014,2022-03-21,2.887,3.13661
06,029,0014,2022-03-24,3.169,3.4337549999999997
06,029,0014,2022-03-27,2.769,2.70646
06,029,0014,2022-03-30,2.485,2.706895
06,029,0014,2022-04-05,1.6655,1.7858
06,029,0014,2022-04-06,2.897,3.0803
06,029,0014,2022-04-08,4.401,4.49229
06,029,0014,2022-04-11,1.484,1.5078200000000002
06,029,0014,2022-04-14,1.715,1.80166
06,029,0014,2022-04-17,2.0805,2.2625900000000003
06,029,0014,2022-04-20,1.035,1.07628
06,029,0014,2022-04-23,1.755,1.9645450000000002
06,029,0014,2022-04-26,2.838,2.97097
06,029,0014,2022-04-29,2.0155,2.18765
06,029,0014,2022-05-02,2.174,2.26407
06,029,0014,2022-05-05,2.8274999999999997,2.93889
06,029,0014,2022-05-08,1.186,1.16827
06,029,0014,2022-05-11,0.8714999999999999,1.07273
06,029,0014,2022-05-14,2.63,2.93844
06,029,0014,2022-05-17,1.9925000000000002,2.09761
