value,state,zcta,lat,lon,pov,zcta_pop,CMAQ
13.464,Iowa,52802,41.517772,-90.618755,17.7,10868,8.892742611
9.269642857,Iowa,52565,40.695078,-92.006318,10.4,2027,6.775810897
9.853278689,Iowa,51104,42.517968,-96.387903,10.3,22104,5.622957691
9.154368932,Iowa,50525,42.695391,-93.655976,0,3583,6.449447403
9.38490566,Kansas,66212,38.974457,-94.687013,10.7,32096,9.717684427
8.454954955,Kansas,66062,38.838575,-94.746424,2.7,74411,8.027682198
9.754545455,Kansas,66075,38.135882,-94.731988,13.7,2103,7.091016466
9.631304348,Kansas,67211,37.659334,-97.297714,17.5,20644,7.714494775
9.47107438,Kansas,67217,37.651114,-97.362212,24.6,30186,7.714494775
9.391812865,Kansas,67214,37.702066,-97.314847,32.4,16542,7.266570895
9.90990991,Kansas,66611,39.024265,-95.711275,9.9,9832,6.715784009
9.05785124,Kansas,67120,37.47689,-97.366399,3.1,1358,7.714494775
10.24709302,Kansas,66101,39.117219,-94.635605,33.1,13220,9.717684427
9.545454545,Kansas,66203,39.046314,-94.694816,16.8,19156,9.717684427
12.45762712,Kentucky,40965,36.60843,-83.73694,32.1,13570,7.309760229
12.07438017,Kentucky,41101,38.45934,-82.64041,15.6,18758,9.249667328
12.8231405,Kentucky,40165,37.98629,-85.71192,8.7,32726,10.22024401
11.87647059,Kentucky,41099,39.021881,-84.47445,9.55,1169,11.79123558
10.28429752,Kentucky,41143,38.23887,-82.9881,1.85,14535,7.740764596
11.98205128,Kentucky,42220,36.91171,-87.323337,17.4,6844,9.278927582
12.01652174,Kentucky,42303,37.780776,-87.075307,11.8,38909,11.77080397
12.22416667,Kentucky,40508,38.06503,-84.49761,32.9,23569,9.488703306
12.10517241,Kentucky,40508,38.038889,-84.5075,20.525,23569,9.488703306
11.49159664,Kentucky,40601,38.219361,-84.8385,12,49566,9.46338616
12.23181818,Kentucky,42701,37.705612,-85.852629,10.3,48194,9.101351421
11.74848485,Kentucky,42420,37.8712,-87.46375,17.3,38192,10.35339888
13.17715582,Kentucky,40211,38.23319,-85.81566,32.9,22612,10.18727094
13.40409357,Kentucky,40215,38.19113,-85.77935,32,22287,10.18727094
13.43275862,Kentucky,40204,38.24024,-85.73195,9.5,14236,10.18727094
12.73333333,Kentucky,40272,38.06091,-85.89804,9.9,37394,10.18727094
12.01570248,Kentucky,41011,39.0725,-84.525,21.7,25872,11.79123558
11.87777778,Kentucky,42003,37.06636,-88.63774,10.6,29683,9.757218162
10.45966387,Kentucky,40475,37.738458,-84.284952,13.1,55803,9.471733992
11.99166667,Kentucky,42320,37.319725,-86.956097,19.5,8205,9.213426097
10.55294118,Kentucky,41501,37.4826,-82.53532,18.5,23298,9.442974574
12.45088757,Kentucky,42159,37.035438,-86.250628,7.2,1195,9.55878605
11.5471831,Louisiana,71108,32.471666,-93.794999,32.7,20388,8.985813934
8.76407767,Louisiana,70668,30.227778,-93.578333,15.2,6424,11.30427813
